Slide,Number,Comment,   SiO2  ,   MgO   ,   CaO   ,   Nd2O3 ,   Ce2O3 ,   La2O3 ,   Y2O3  ,   Pr2O3 ,   Gd2O3 ,   Eu2O3 ,   Al2O3 ,   F     ,   Sm2O3 ,   FeO   ,   MnO   ,   TiO2  ,   Cl    ,   Na2O  ,   K2O   ,  Total  ,Si_T,Al_T,Sum_T,Al_M,Ti_M,Cr_M,Fe_M,Mn_M,Mg_M,M_Sum,Ca_I,Na_I,K_I,Ba_I,Total_Cations,F_A,Cl_A,OH_A,XAlcel,XFeAlcel,Xprl,Xmrg,Xpg,Xms,XTriOct,Xphl,Xann,Xeas,Xsid,XDiOct,,,,,
EDC01,53,EDC01 36 EDC01-small_bt-36 ,38.033,17.247,0.023,0.026,0.062,0,0.049,0.068,0,0,12.295,1.708,0,13.23,0.071,1.76,0.361,0.112,10.186,94.431,2.907011466,1.092988534,4,0.014558588,0.101203129,0,0.845679692,0.004596458,1.965183838,2.931221705,0.001883553,0.016597444,0.993215727,0,7.942918429,0.412874208,0.046765839,1.540359953,0.048085576,0.020692718,0,0,0,0,0.931221705,0.590512765,0.254115999,0.060540488,0.026052454,0.068778295,,,,,
EDC01,55,EDC01 38 EDC01-small_bt-38 ,38.486,17.482,0.059,0.148,0,0,0.032,0.075,0.001,0,12.48,1.657,0,13.21,0.074,1.798,0.359,0.053,10.123,95.258,2.909940351,1.090059649,4,0.022039262,0.102274205,0,0.835302969,0.004739056,1.970497491,2.934852983,0.004779661,0.007769521,0.976437168,0,7.923839333,0.396230174,0.046005646,1.55776418,0.045752374,0.019394642,0,0,0,0,0.934852983,0.597413933,0.25324652,0.059127929,0.025064602,0.065147017,,,,,
EDC01,57,EDC01 40 EDC01-big_bt-40 ,38.622,18.269,0.007,0.029,0,0,0,0.106,0.025,0.004,12.45,1.858,0.09,12.55,0.048,1.46,0.36,0.126,10.231,95.372,2.912344352,1.087655648,4,0.018776625,0.082823949,0,0.79142832,0.003065688,2.053648913,2.949743495,0.000565548,0.0184211,0.984191939,0,7.952922082,0.443095562,0.046009322,1.510895116,0.03627642,0.013980085,0,0,0,0,0.949743495,0.625456708,0.241036405,0.060092237,0.023158144,0.050256505,,,,,
EDC01,58,EDC01 41 EDC01-big_bt-41 ,38.85,18.395,0.018,0,0.028,0.027,0,0.053,0,0,12.336,1.834,0,12.241,0.049,1.447,0.358,0.122,10.172,95.077,2.926819409,1.073180591,4,0.022103507,0.082010328,0,0.771226062,0.003126654,2.065894572,2.944361122,0.001452918,0.017819757,0.97760859,0,7.941242388,0.436966316,0.045711271,1.517322412,0.040514335,0.015124543,0,0,0,0,0.944361122,0.637328841,0.237923376,0.05032275,0.018786155,0.055638878,,,,,
EDC01,59,EDC01 42 EDC01-big_bt-42 ,38.325,17.342,0.002,0.037,0.024,0.046,0,0.106,0.01,0,12.223,1.796,0.024,13.435,0.059,1.792,0.354,0.112,10.145,94.996,2.913959898,1.086040102,4,0.009243883,0.102502516,0,0.854277512,0.00379955,1.965640302,2.935463763,0.000162928,0.016510357,0.984027449,0,7.936164497,0.431868437,0.045618399,1.522513164,0.044985364,0.019550873,0,0,0,0,0.935463763,0.595966305,0.25901006,0.056104214,0.024383184,0.064536237,,,,,
EDC01,60,EDC01 43 EDC01-big_bt-43 ,38.986,18.058,0,0,0.048,0,0,0.169,0.013,0.051,12.119,1.762,0,13.044,0.049,1.735,0.362,0.09,10.253,95.915,2.927196985,1.0724019,3.999598885,0,0.09800266,0,0.81905668,0.003116148,2.021232992,2.941408481,0,0.013101554,0.982082523,0,7.936191444,0.41840118,0.046066711,1.535532108,0.041695434,0.016896085,0,0,0,0,0.941408481,0.621160543,0.251710562,0.048773196,0.01976418,0.058591519,,,,,
EDC01,61,EDC01 44 EDC01-big_bt-44 ,38.498,17.869,0.012,0,0,0,0.032,0.019,0,0.015,12.264,1.834,0.065,12.949,0.058,1.581,0.362,0.13,10.167,95.001,2.916599464,1.083400536,4,0.011609966,0.090108468,0,0.820417188,0.003721735,2.018098369,2.943955726,0.000974055,0.019094972,0.9826191,0,7.946643853,0.439421883,0.04648176,1.514096357,0.039845777,0.016198497,0,0,0,0,0.943955726,0.615151769,0.250077544,0.055972089,0.022754324,0.056044274,,,,,
EDC29B,99,EDC29B 27 EDC29B-big_cpx-27 ,37.252,16.424,0.008,0.111,0,0.017,0.017,0.068,0,0.008,13.579,1.952,0,15.813,0.163,0.879,0.342,0.079,9.48,95.293,2.849393062,1.150606938,4,0.07349638,0.050580924,0,1.011525732,0.010560128,1.872773104,3.018936267,0.000655626,0.011715664,0.92504926,0,7.956356817,0.472200353,0.04433679,1.483462857,-0.012295304,-0.006640963,0,0,0,0,1.018936267,0.561953834,0.303523562,0.099640732,0.05381814,-0.018936267,,,,,
EDC29B,102,EDC29B 30 EDC29B-big_bt-30 ,38.222,17.01,0.112,0.027,0,0,0.004,0.088,0,0.02,12.642,2.353,0.061,14.81,0.156,0.764,0.362,0.074,10.144,95.776,2.910040893,1.089959107,4,0.04439589,0.043759682,0,0.942975997,0.010059794,1.930605133,2.971796495,0.009136239,0.010923315,0.985255071,0,7.97711112,0.56656708,0.046712125,1.386720795,0.018948423,0.009255082,0,0,0,0,0.971796495,0.594163856,0.290210694,0.058734119,0.028687826,0.028203505,,,,,
EDC29B,76,EDC29B 1 EDC29B-bt_in_cluster-1 ,37.985,16.314,0,0,0.021,0.003,0.041,0.014,0,0.037,13.451,2.351,0,14.938,0.155,0.914,0.384,0.098,10.264,95.893,2.887394159,1.112605841,4,0.092419096,0.052267924,0,0.949612219,0.0099794,1.848663472,2.95294211,0,0.014442988,0.995323689,0,7.962708787,0.565184571,0.049472122,1.385343307,0.031088503,0.015969387,0,0,0,0,0.95294211,0.558663689,0.286971573,0.070891603,0.036415245,0.04705789,,,,,
